customer_id,churn_risk,clv_12m,priority_score,priority_score_norm,cluster_name,recommended_action
18102,0.4903244400527009,225719.17979320267,110675.63044125702,100.0,Inactive / At-Risk Customers,🔵 MONITOR (Low Risk)
14646,0.4721049783549784,200001.3184980897,94421.61814050778,85.85871596242403,Inactive / At-Risk Customers,🔵 MONITOR (Low Risk)
14156,0.4721049783549784,138135.9638051277,65214.676202263894,60.44814937889448,Inactive / At-Risk Customers,🔵 MONITOR (Low Risk)
17450,0.4721049783549784,110279.46342033516,52063.48369105596,49.006374554763156,Inactive / At-Risk Customers,🔵 MONITOR (Low Risk)
14911,0.4721049783549784,109654.5703516918,51768.468562409915,48.74970606870735,Inactive / At-Risk Customers,🔵 MONITOR (Low Risk)
13694,0.4721049783549784,80976.56543506763,38229.4396719831,36.97050659537809,Inactive / At-Risk Customers,🔵 MONITOR (Low Risk)
12415,0.4721049783549784,78731.53385417508,37169.549086079576,36.048382657812,Inactive / At-Risk Customers,🔵 MONITOR (Low Risk)
17511,0.4721049783549784,66905.03232770528,31586.19883891043,31.19076718013395,Inactive / At-Risk Customers,🔵 MONITOR (Low Risk)
17949,0.4903244400527009,50660.0195274854,24839.845707873174,25.321318204794473,Inactive / At-Risk Customers,🔵 MONITOR (Low Risk)
16684,0.4721049783549784,50803.9843659296,23984.813939423857,24.57742513549765,Inactive / At-Risk Customers,🔵 MONITOR (Low Risk)
15311,0.4721049783549784,47780.53294194736,22557.42747034739,23.335573147378227,Inactive / At-Risk Customers,🔵 MONITOR (Low Risk)
13089,0.4721049783549784,47173.33661726821,22270.767062627518,23.086173419305723,Inactive / At-Risk Customers,🔵 MONITOR (Low Risk)
16029,0.4903244400527009,44993.35800120018,22061.34306802919,22.903970764533383,Inactive / At-Risk Customers,🔵 MONITOR (Low Risk)
12931,0.4903244400527009,38355.15995856157,18806.472329813478,20.072174481680733,Inactive / At-Risk Customers,🔵 MONITOR (Low Risk)
15098,0.4903244400527009,37002.6247463933,18143.29125925551,19.495194981876143,Wholesale Buyers,🔵 MONITOR (Low Risk)
14298,0.4721049783549784,38183.2800470377,18026.51660012881,19.393598921005335,Inactive / At-Risk Customers,🔵 MONITOR (Low Risk)
15769,0.4903244400527009,34782.66479494168,17054.790639120572,18.548179798203847,Inactive / At-Risk Customers,🔵 MONITOR (Low Risk)
13798,0.4721049783549784,32024.457527933828,15118.905828055125,16.863925075691817,Inactive / At-Risk Customers,🔵 MONITOR (Low Risk)
15749,0.4903244400527009,30591.77022489076,14999.89260574045,16.760381424448152,Wholesale Buyers,🔵 MONITOR (Low Risk)
14088,0.4632260101010101,30359.09034688176,14063.12029168213,15.945372605301053,Inactive / At-Risk Customers,🔵 MONITOR (Low Risk)
15061,0.4721049783549784,29411.86362156758,13885.487238439739,15.790828643239038,Inactive / At-Risk Customers,🔵 MONITOR (Low Risk)
16422,0.4721049783549784,28699.127308628336,13549.00087684675,15.498079436088652,Inactive / At-Risk Customers,🔵 MONITOR (Low Risk)
15838,0.4721049783549784,25502.905758542984,12040.048771125988,14.185263872074835,Inactive / At-Risk Customers,🔵 MONITOR (Low Risk)
14680,0.4721049783549784,25230.494873878877,11911.44223631798,14.0733738658316,Inactive / At-Risk Customers,🔵 MONITOR (Low Risk)
17841,0.4721049783549784,25072.96003499881,11837.06925461835,14.008668029544799,Inactive / At-Risk Customers,🔵 MONITOR (Low Risk)
17381,0.4721049783549784,23869.960668283256,11269.127264634053,13.514548248617608,Inactive / At-Risk Customers,🔵 MONITOR (Low Risk)
13081,0.4632260101010101,22226.926509875386,10296.090483977945,12.667988689066132,Inactive / At-Risk Customers,🔵 MONITOR (Low Risk)
